	city
Tabernacle	8
Whiteland	8
Kulpsville	8
Eddystone	8
San Antonio	8
Cheltenham	8
New Palestine	8
Beaumont	8
Malaga	8
Roslyn	8
Franklinville	8
Laurel Springs	8
Lawnside	8
Boise City	7
St.Petersburg	7
Catalina	7
Berkeley	7
Norwood	7
Crestwood	7
Greenville	7
Jennings	7
Sappington	7
TAMPA	7
Thorofare	7
St Louis Downtown	7
East Saint Louis	7
Wenonah	7
Dover	7
Washington Crossing	7
St.Louis	7
Primos	6
Pemberton	6
Bethalto	6
Pilesgrove	6
Palmetto	6
Aldan	6
Lawrence Township	6
Haverford	6
Ivyland	6
Christiana	6
Rock Hill	6
Harrison Township	6
Manayunk	6
West Conshohocken	6
Logan Township	6
Yeadon	6
Riverton	6
Rosemont	6
Gibbsboro	6
Thonotosassa	6
Earth City	5
Rockledge	5
O'fallon	5
Carneys Point	5
New Britain	5
Linwood	5
Saint Rose	5
Kimmswick	5
Mount Laurel Township	5
Monroe Township	5
Tuscon	5
Evesham	5
Smithton	5
Freeburg	5
Ladue	5
Scott Air Force Base	5
Florence	5
Upper Chichester	5
Meraux	5
Shamong	5
Toughkenamon	5
Pontoon Beach	5
Oakville	5
Secane	5
Wimauma	5
Greenfield	5
Green Lane	5
Cedars	4
Violet	4
Mount Lemmon	4
Chesterbrook	4
Jeffersonville	4
Medford Lakes	4
Newfield	4
Normandy	4
Edgewater Park	4
Castleton	4
Danville	4
Florence Township	4
Washington Township	4
Southport	4
Stowe	4
Worcester	4
Winslow Township	4
St. Ann	4
Concordville	4
Perkiomenville	4
National Park	4
Mendenhall	4
Westchase	4
New Whiteland	4
Hulmeville	4
Plumsteadville	4
Luling	4
Glenmoore	4
Roebling	4
Clermont	4
Delanco	3
Skippack Village	3
Cedar Brook	3
Newport	3
Pennsville Township	3
Bargersville	3
Willingboro Township	3
Southampton Township	3
Eastampton	3
Dade City	3
Mt.Laurel	3
Gladwyne	3
Town 'n' Country	3
Line Lexington	3
Burlington Township	3
Lester	3
Chesilhurst	3
Whites Creek	3
Shrewsbury	3
Talleyville	3
Lederach	3
Green Park	3
Saint Peters	3
Kuna	3
St Ann	3
Southwest Philadelphia	3
Berlin Township	3
Breckenridge Hills	3
Clarksboro	3
Wrightstown	3
Ozona	3
Vincentown	3
Sumneytown	3
Red Hill	3
West Point	3
Town And Country	3
Berry Hill	3
Mt Laurel	3
Carrollwood	3
Kimberton	3
Saint Bernard	2
Eastampton Township	2
Belle Meade	2
Elsmere	2
Bridge City	2
St. Rose	2
Thornton	2
Bucks	2
Chichester	2
Winchester	2
Mont Clare	2
Wilmington Manor	2
Zieglerville	2
Bayonet Point	2
Elmwood	2
Cheltenham Township	2
Redingtn Shor	2
East St. Louis	2
Belleair Blf	2
Lionville	2
NASHVILLE	2
Carversville	2
Gwynedd	2
Montchanin	2
Fairview	2
Downtown	2
LARGO	2
Dupo	2
Hi-Nella	2
Crum Lynne	2
EdMonton	2
Fairview Hts.	2
St. Peters	2
Holicong	2
PHILA	2
Hillsborough County	2
East St Louis	2
Westtown	2
Cottage Hills	2
Marlborough	2
Warrington Township	2
East Nashville	2
Fairmont City	2
West Edmonton	2
Pittsgrove	2
Martinsville	2
Birchrunville	2
Boone	2
Woolwich Township	2
Waterford Works	2
Erdenheim	2
Twin Oaks	2
Warson Woods	2
Linfield	2
Citrus Park	2
South Tucson	2
Nashville-Davidson metropolitan government (balance)	2
Pike Creek	2
Lawrenceville	2
West Trenton	2
Mantua Township	2
Alloway	2
NEW ORLEANS	2
Pinellas	2
Unionville	2
Furlong	2
Melrose Park	2
Silverdale	2
Titusville	2
Pennsylvania	2
Fairview Village	2
TUCSON	2
philadelphia	2
Cumberland	2
Carney's Point	1
Largo (Walsingham)	1
NORTH WALES	1
Washington Park	1
Enoch	1
Tampa Florida	1
Moorestown-Lenola	1
Bensalem Township	1
LANSDALE	1
Newportville	1
Upper Southampton	1
Pine Forge	1
Land o Lakes	1
Corona De Tucson	1
Phila	1
Town & Country	1
LITHIA	1
Sherwood	1
Parkside	1
Saint John	1
Fieldsboro	1
Stead	1
Mccordsville	1
Mount Holly,	1
Festerville	1
Liverpool	1
DONELSON	1
MEDIA	1
West Bradford Township	1
Goodletsville	1
Metarie	1
Sauget	1
Casas Adobes	1
Nampa	1
Pennington	1
TRENTON	1
BRANDON	1
South Tampa	1
North Coventry Township	1
Pinellas park	1
LOWER MERION	1
Edgemont	1
POTTSTOWN	1
Hurffville	1
Blackwood 	1
Lower Southampton Township	1
Nashville 	1
Blooming Glen	1
Sullivan	1
Montgomery	1
Hollywood	1
N.Wales	1
Hernando Bch	1
Cold Springs	1
Tampa Palms	1
Tampa,Fl	1
St Louis County	1
West Collingswood Heights	1
Truckee	1
Swedeland	1
Santa  Barbara	1
Wycombe	1
WILLOW GROVE	1
Foster Pond	1
Middletown	1
Pass-a-Grille Beach	1
St. Louis County	1
Sanatoga	1
Clearwater/ Countryside	1
St. Leo	1
Kirklyn	1
Cane Ridge	1
Redington Shore	1
Philadelphia 	1
Land O'lakes	1
spring city	1
Delran Township	1
Clarksville	1
goodlettsville	1
Caln	1
INpolis	1
London Grove	1
Hilltown	1
RIVERVIEW	1
TEMPLE TERR	1
RADNOR	1
Bel Ridge	1
Saint Leo	1
ST. PETERSBURG	1
Corona de Tucson	1
Bellefontaine Neighbors	1
Saint Louis,	1
Dellwood	1
Town and Country 	1
St.  Charles	1
W. Berlin	1
Upper Pottsgrove	1
Charlotte	1
Woodbury Hts.	1
Palm harbor	1
St Petersurg	1
Westhampton	1
Bellefontaine	1
Newtown Sqaure	1
Riverview Fl	1
Bensalem. Pa	1
Ridley	1
East Falls	1
N Redngtn Bch	1
Indiana	1
BOISE	1
Stanton	1
Telford 	1
Mt Holly	1
Tierre Verde	1
Town 'N' Country	1
Feasterville-trevose	1
Philly	1
TRINITY	1
St.Charles	1
LANGHORNE	1
Newton	1
Upland	1
S.Pasadena	1
PINELLAS PARK	1
DELRAN	1
CLIFTON HEIGHTS	1
Plainfiled	1
Churchville	1
Monroeville	1
Gloucester	1
St. Davids	1
Twn N Cntry	1
Scott Afb	1
Upper Gwynedd	1
Land O'Lakes	1
Wyndlake Condominium	1
Town n Country	1
WEST CHESTER	1
Southwest Tampa	1
Inglewood	1
West Deptford Townsh	1
Bryn Athyn	1
Mc Cordsville	1
Gwynedd Valley	1
Pine HIll	1
Valencia West	1
Ashland	1
Rosewood Heights	1
Bellville	1
Saintt Petersburg	1
LOWER PROVIDENCE	1
NORRISTOWN	1
Blvd	1
Elk Township	1
reno	1
Haddon Twp	1
Wesley chapel	1
Glenoldan	1
Eaux Claires	1
Bethel	1
Balm	1
Thonosassa	1
Woodson Terrace	1
erdenheim	1
Hilltop	1
West Mount Holly	1
Tren	1
Mt Laurel Twp, NJ	1
St Pete	1
Meridian 	1
wilmington	1
Indianapolis 	1
lawrence	1
St.Ann	1
Belmont Hills	1
South Cinnaminson	1
Mansfield	1
Vineland	1
NEW PORT RICHEY	1
Flanders	1
Elverson	1
ST. Louis	1
W Cherry Hill	1
Land o lakes	1
Audubon 	1
East Greenville	1
Woolwich Twp	1
Temple Terr	1
View	1
Cedarbrook	1
St.Rose	1
Mercerville	1
Belle Chase	1
NW Edmonton	1
Pinecrest West Park	1
W.Chester	1
Abington Township	1
Upper Pittsgrove	1
Southeast Edmonton	1
Tinicum	1
RENO	1
Trainer	1
Bywater	1
Holland Southampton	1
Lula Lula	1
Westampton Township	1
Lemay	1
Pittsgrove Township	1
Sun City	1
Concord Township	1
Westmont - Haddon Towsship	1
Algiers	1
Conshohoeken	1
Eddington	1
Drexel Heights	1
Erial	1
HUdson	1
Saint Petersburg Beach	1
Peerless Park	1
Jobstown	1
Fox Street	1
Mount Royal	1
Sassamansville	1
Wallingford	1
sewell	1
Mt.Juliet	1
North Redington Bch	1
Hancock	1
Mehlville	1
E. Norristown	1
Black Jack	1
East Lansdowne	1
Wilmington 	1
Delran Twp	1
Scott AFB	1
Tylersport	1
East Edmonton	1
Royersford 	1
Mango	1
Lima	1
Chalemette	1
Picture Rocks	1
West Chester PA	1
wimauma	1
Bucktown	1
O' Fallon	1
Center Square	1
Solebury	1
Marshallton	1
ST. PETE BEACH	1
SPRINGHILL	1
Gulph Mills	1
Trolley Square	1
Washington Twp	1
Bethel Township	1
Milmont Park	1
Pineville	1
Tarpon springs	1
Glendale	1
Kalispell	1
Kenneth	1
Pleasant Township	1
Bristol Twp	1
ST LOUIS	1
indianopolis	1
Cornwells Heights	1
CLEARWATER	1
Lansdale 	1
Franconia	1
MADISON	1
Riveridge	1
Rural Hill	1
Fairview Hts	1
Gardenville	1
Fortville	1
Lutz fl	1
Hamiltion	1
Masaryktown	1
Gentilly	1
Freehold	1
Greater Northdale	1
Mt. Holly	1
Wanamaker	1
Oldmans Township	1
Woolwich Twp.	1
Quinton	1
Philadephia	1
tucson	1
UPPER MORELAND	1
